book_identity_id,inventory_id,local_file_location,format,file_size_mb,page_count,text_quality,canonical_copy,file_status,notes
book-id-059,book-036,"/Users/alessandralove/Downloads/Guitar Resources/ Rikky Rooksby - How to Write Songs on Guitar_ A Guitar-Playing and Songwriting Course (2000, Miller Freeman Books) - libgen.li.pdf",PDF,13.7,290,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-060,book-048,"/Users/alessandralove/Downloads/Guitar Resources/[Private Lessons] Ross Bolton - Funk Guitar_ The Essential Guide (Private Lessons) (2001, Musicians Institute Press) - libgen.li.pdf",PDF,7.6,33,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-061,book-061,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon (1995, Alfred Pub Co) - libgen.li.pdf",PDF,12.0,96,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-062,book-062,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon_ Easy to Early Intermediate Repertoire (1998, Alfred Publishing Company) - libgen.li.pdf",PDF,16.2,64,mixed / partial text,Yes,Canonical,Already intake-triaged; follow priority queue
book-id-063,book-069,/Users/alessandralove/Downloads/Guitar Resources/study-en.pdf,PDF,3.6,48,text-based / extraction likely good,No,Duplicate / Archive,Archive this duplicate path in catalogue only
book-id-063,book-079,/Users/alessandralove/Downloads/LEARNING/study-en.pdf,PDF,3.6,48,text-based / extraction likely good,Yes,Canonical,Use this copy as the working source
book-id-064,book-049,"/Users/alessandralove/Downloads/Guitar Resources/[Stylistic Method] Troy Stetina - Speed Mechanics for Lead Guitar (1992, Hal Leonard Corporation) - libgen.li.pdf",PDF,17.5,80,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-065,book-037,"/Users/alessandralove/Downloads/Guitar Resources/ Various - The Ultimate Guitar Chord Chart (1999, Hal Leonard Corporation) - libgen.li.pdf",PDF,0.4,7,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-066,book-038,"/Users/alessandralove/Downloads/Guitar Resources/ William L Fowler - Guitar Patterns For Improvisation (1971, Maher Publications) - libgen.li.pdf",PDF,1.4,28,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-067,book-042,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Methods] William Leavitt - A Modern Method for Guitar - Volumes 1, 2, 3 Complete (1999, Berklee Press Publications) - libgen.li.pdf",PDF,5.4,125,mixed / partial text,Yes,Canonical,Already intake-triaged; follow priority queue
book-id-068,book-063,"/Users/alessandralove/Downloads/Guitar Resources/Done/ William Leavitt - Berklee Basic Guitar - Phase 1_ Guitar Technique (Guitar Method) (1986, Berklee Press Publications) - libgen.li.pdf",PDF,23.4,56,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-069,book-064,"/Users/alessandralove/Downloads/Guitar Resources/Done/ William Leavitt - Berklee Basic Guitar - Phase 2_ Guitar Technique (Guitar Solo) (1986, Berklee Press Publications) - libgen.li.pdf",PDF,10.8,64,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
